DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HR,2012,1003,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HR,2015,1008,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HR,2018,1020,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HU,2006,2480,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HU,2009,2509,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HU,2012,2529,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HU,2015,2548,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,HU,2018,2564,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IE,2006,1280,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IE,2009,1292,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IE,2012,1306,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IE,2015,1308,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IE,2018,1337,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IS,2006,136,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IS,2009,138,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IS,2012,141,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IS,2015,143,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IS,2018,145,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IT,2006,12666,
ESTAT:SDG_11_32(1.0),11/06/24 23:00:00,A,KM2,IT,2009,12761,
