eu_sdg,dimension,dimension_label,unit,unit_label,geo,geo_label,time,obs_value,obs_status
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2010,122,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2011,126,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2012,127,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2013,126,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2014,127,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2015,128,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2016,131,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2017,133,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2018,136,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2019,138,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2020,139,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2021,139,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2022,139,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IE,Ireland,2023,139,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2000,1830,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2001,1865,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2002,1899,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2003,1918,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2004,1950,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2005,1989,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2006,2033,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2007,2049,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2008,2089,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2009,2101,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2010,2149,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2011,2149,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2012,2149,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2013,2156,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2014,1538,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2015,1540,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2016,1540,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2017,1595,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2018,1595,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2019,1631,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2020,1631,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2021,1680,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2022,1679,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,EL,Greece,2023,1728,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2000,1580,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2001,1588,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2002,1735,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2003,1753,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2004,1806,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2005,1813,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2006,1855,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2007,1897,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2008,1896,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2009,1910,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2010,1930,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2011,1927,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2012,1926,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2013,1931,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2014,1942,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2015,1948,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2016,1949,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2017,1960,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2018,1965,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2019,1968,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2020,1969,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2021,1984,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2022,1987,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,ES,Spain,2023,1994,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2000,1768,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2001,1791,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2002,1809,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2003,1822,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2004,1835,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2005,1855,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2006,1864,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2007,1870,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2008,1938,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2009,1972,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2010,1984,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2011,2000,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2012,2006,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2013,2006,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2014,2016,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2015,2040,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2016,2043,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2017,2043,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2018,2041,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2019,2044,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2020,2055,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2021,2061,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2022,2074,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,FR,France,2023,2075,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2000,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2001,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2002,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2003,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2004,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2005,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2006,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2007,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2008,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2009,905,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2010,913,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2011,906,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2012,912,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2013,919,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2014,918,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2015,908,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2016,922,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2017,949,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2018,981,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2019,953,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2020,894,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2021,894,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2022,894,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,HR,Croatia,2023,894,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2000,4724,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2001,4775,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2002,4807,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2003,4824,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2004,4858,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2005,4950,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2006,4971,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2007,4975,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2008,4963,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2009,4966,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2010,4894,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2011,4901,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2012,4880,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2013,4867,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2014,4864,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2015,4866,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2016,4864,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2017,4864,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2018,4871,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2019,4864,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2020,4848,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2021,4850,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2022,4854,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,IT,Italy,2023,4853,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2000,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2001,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2002,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2003,,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2004,100,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2005,100,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2006,100,
14_40,CST,Number of bathing sites i. coastal water,NR,Number,CY,Cyprus,2007,100,
